Announce Date,EPS,revenue
2024年10月24日,--,--
2024年8月1日,1.4,85.8B
2024年5月2日,1.53,90.8B
2024年2月1日,2.18,119.58B
2023年11月2日,1.46,89.5B
2023年8月3日,1.26,81.8B
2023年5月4日,1.52,94.8B
2023年2月2日,1.88,117.2B
2022年10月27日,1.29,90.1B
2022年7月28日,1.2,82.96B
2022年4月28日,1.52,97.28B
2022年1月27日,2.1,123.95B
2021年10月28日,1.24,83.36B
2021年7月27日,1.3,81.43B
2021年4月28日,1.46,89.58B
2021年1月27日,1.68,111.44B
2020年10月29日,0.73,64.7B
2020年7月30日,0.645,59.69B
2020年4月30日,0.6375,58.31B
2020年1月28日,1.25,91.82B
2019年10月30日,0.7575,64.04B
2019年7月30日,0.545,53.81B
2019年4月30日,0.615,58.02B
2019年1月29日,1.05,84.31B
2018年11月1日,0.7275,62.9B
2018年7月31日,0.585,53.27B
2018年5月1日,0.6825,61.14B
2018年2月1日,0.9725,88.29B
2017年11月2日,0.5175,52.58B
2017年8月1日,0.4175,45.41B
2017年5月2日,0.525,52.9B
2017年1月31日,3.36,78.35B
2016年10月25日,1.67,46.85B
2016年7月26日,1.67,42.36B
2016年4月26日,1.42,50.56B
2016年1月26日,3.28,75.87B
2015年10月27日,1.96,51.50B
2015年7月21日,1.85,49.61B
2015年4月27日,2.33,58.01B
2015年1月27日,3.06,74.60B
